node.exe :  ┬╗   Warning: @salesforce/cli update available from [92m2.85.7[39m to 
[92m2.133.4[39m.
At C:\Program Files\nodejs\sfdx.ps1:16 char:5
+     & "$basedir/node$exe" --no-deprecation "$basedir/node_modules/@sa ...
+     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ( ┬╗   Warning: ...2m2.133.4[39m.:String) [], 
    RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Warning: We plan to stop supporting v4.x of Code Analyzer in the coming months. We highly 
recommend that you start using v5.x, which is currently in Beta. For information on v5.x, 
see https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/code-anal
yzer.html.
"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisQueueable.cls","10","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"2","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisQueueable.cls","15","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"3","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisQueueable.cls","20","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"4","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisQueueable.cls","25","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"5","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisQueueable.cls","30","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"6","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisQueueable.cls","30","12","CyclomaticComplexity","The method 'execute(QueueableContext)' has a cyclomatic complexity of 12.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"7","5","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisQueueable.cls","30","12","QueueableWithoutFinalizer","This Queueable doesnt attach a Finalizer","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#queueablewithoutfinalizer","Best Practices","pmd"
"8","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisQueueable.cls","31","59","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"9","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisQueueable.cls","31","59","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"10","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisQueueableTest.cls","6","9","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
